GCF_000005845.2_ASM584v2	GCF/000/005/845/GCF_000005845.2_ASM584v2	eco	GCF/000/005/845	Escherichia coli K-12 MG1655
GCA_000021745.1_ASM2174v1	GCA/000/021/745/GCA_000021745.1_ASM2174v1	msl	GCA/000/021/745	Methylocella silvestris
GCA_001271345.1_ASM127134v1	GCA/001/271/345/GCA_001271345.1_ASM127134v1	chel	GCA/001/271/345	Chelatococcus sp. CO-6
GCA_001887265.1_ASM188726v1	GCA/001/887/265/GCA_001887265.1_ASM188726v1	cdq	GCA/001/887/265	Chelatococcus daeguensis
GCA_000143145.1_ASM14314v1	GCA/000/143/145/GCA_000143145.1_ASM14314v1	hdn	GCA/000/143/145	Hyphomicrobium denitrificans ATCC 51888
GCA_000230975.3_ASM23097v3	GCA/000/230/975/GCA_000230975.3_ASM23097v3	hdt	GCA/000/230/975	Hyphomicrobium denitrificans 1NES1
GCA_000253295.1_ASM25329v1	GCA/000/253/295/GCA_000253295.1_ASM25329v1	hmc	GCA/000/253/295	Hyphomicrobium sp. MC1
GCA_000503895.1_ASM50389v1	GCA/000/503/895/GCA_000503895.1_ASM50389v1	hni	GCA/000/503/895	Hyphomicrobium nitrativorans
GCA_000166055.1_ASM16605v1	GCA/000/166/055/GCA_000166055.1_ASM16605v1	rva	GCA/000/166/055	Rhodomicrobium vannielii
GCA_000230555.1_ASM23055v1	GCA/000/230/555/GCA_000230555.1_ASM23055v1	phl	GCA/000/230/555	Pelagibacterium halotolerans
GCA_000981565.1_W1	GCA/000/981/565/GCA_000981565.1_W1	fil	GCA/000/981/565	Candidatus Filomicrobium marinum W
GCA_000981545.1_Y1	GCA/000/981/545/GCA_000981545.1_Y1	fiy	GCA/000/981/545	Candidatus Filomicrobium marinum Y
GCA_001185205.1_ASM118520v1	GCA/001/185/205/GCA_001185205.1_ASM118520v1	deq	GCA/001/185/205	Devosia sp. H5989
GCA_002949085.1_ASM294908v1	GCA/002/949/085/GCA_002949085.1_ASM294908v1	dei	GCA/002/949/085	Devosia sp. I507
GCA_001402875.1_ASM140287v1	GCA/001/402/875/GCA_001402875.1_ASM140287v1	bvr	GCA/001/402/875	Blastochloris viridis
GCA_001579845.1_ASM157984v1	GCA/001/579/845/GCA_001579845.1_ASM157984v1	rhz	GCA/001/579/845	Rhodoplanes sp. Z2-YC6860
GCA_003433515.1_ASM343351v1	GCA/003/433/515/GCA_003433515.1_ASM343351v1	mmyr	GCA/003/433/515	Maritalea myrionectae
GCA_000304315.1_Msp_SC2	GCA/000/304/315/GCA_000304315.1_Msp_SC2	msc	GCA/000/304/315	Methylocystis sp. SC2
GCA_002117405.1_ASM211740v1	GCA/002/117/405/GCA_002117405.1_ASM211740v1	mbry	GCA/002/117/405	Methylocystis bryophila
GCA_002752655.1_ASM275265v1	GCA/002/752/655/GCA_002752655.1_ASM275265v1	mtw	GCA/002/752/655	Methylosinus trichosporium
GCA_000960975.1_ASM96097v1	GCA/000/960/975/GCA_000960975.1_ASM96097v1	mey	GCA/000/960/975	Martelella endophytica
GCA_001578105.1_ASM157810v1	GCA/001/578/105/GCA_001578105.1_ASM157810v1	maad	GCA/001/578/105	Martelella sp. AD-3
GCA_002043005.1_ASM204300v1	GCA/002/043/005/GCA_002043005.1_ASM204300v1	mmed	GCA/002/043/005	Martelella mediterranea
GCA_001442755.1_ASM144275v1	GCA/001/442/755/GCA_001442755.1_ASM144275v1	aua	GCA/001/442/755	Aureimonas sp. AU20
GCA_003432385.1_ASM343238v1	GCA/003/432/385/GCA_003432385.1_ASM343238v1	brn	GCA/003/432/385	Breoghania sp. L-A4
GCA_000021505.1_ASM2150v1	GCA/000/021/505/GCA_000021505.1_ASM2150v1	hci	GCA/000/021/505	Candidatus Hodgkinia cicadicola Dsem
GCA_000699475.1_ASM69947v1	GCA/000/699/475/GCA_000699475.1_ASM69947v1	hct	GCA/000/699/475	Candidatus Hodgkinia cicadicola TETULN
GCA_000831405.1_ASM83140v1	GCA/000/831/405/GCA_000831405.1_ASM83140v1	hcc	GCA/000/831/405	Candidatus Hodgkinia cicadicola TETUND1
GCA_000831425.1_ASM83142v1	GCA/000/831/425/GCA_000831425.1_ASM83142v1	hcd	GCA/000/831/425	Candidatus Hodgkinia cicadicola TETUND2
GCA_000828475.1_ASM82847v1	GCA/000/828/475/GCA_000828475.1_ASM82847v1	mcg	GCA/000/828/475	Methyloceanibacter caenitepidi
GCA_002005325.1_ASM200532v1	GCA/002/005/325/GCA_002005325.1_ASM200532v1	thd	GCA/002/005/325	Candidatus Tokpelaia hoelldoblerii
GCA_002119765.1_ASM211976v1	GCA/002/119/765/GCA_002119765.1_ASM211976v1	psin	GCA/002/119/765	Pseudorhodoplanes sinuspersici
GCA_900231165.1_HDIA1	GCA/900/231/165/GCA_900231165.1_HDIA1	hdi	GCA/900/231/165	Hartmannibacter diazotrophicus
GCA_001664005.1_ASM166400v1	GCA/001/664/005/GCA_001664005.1_ASM166400v1	rbm	GCA/001/664/005	Rhizobiales bacterium NRL2
GCF_000006905.1_ASM690v1	GCF/000/006/905/GCF_000006905.1_ASM690v1	ccr	GCF/000/006/905	Caulobacter vibrioides CB15
GCF_000022005.1_ASM2200v1	GCF/000/022/005/GCF_000022005.1_ASM2200v1	ccs	GCF/000/022/005	Caulobacter vibrioides NA1000
GCA_000019145.1_ASM1914v1	GCA/000/019/145/GCA_000019145.1_ASM1914v1	cak	GCA/000/019/145	Caulobacter sp. K31
GCA_000092285.1_ASM9228v1	GCA/000/092/285/GCA_000092285.1_ASM9228v1	cse	GCA/000/092/285	Caulobacter segnis
GCA_001414055.1_ASM141405v1	GCA/001/414/055/GCA_001414055.1_ASM141405v1	chq	GCA/001/414/055	Caulobacter henricii
GCA_002749615.1_ASM274961v1	GCA/002/749/615/GCA_002749615.1_ASM274961v1	cmb	GCA/002/749/615	Caulobacter mirabilis
GCA_000017265.1_ASM1726v1	GCA/000/017/265/GCA_000017265.1_ASM1726v1	pzu	GCA/000/017/265	Phenylobacterium zucineum
GCA_003150835.1_ASM315083v1	GCA/003/150/835/GCA_003150835.1_ASM315083v1	phb	GCA/003/150/835	Phenylobacterium sp. HYN0004
GCA_000144605.1_ASM14460v1	GCA/000/144/605/GCA_000144605.1_ASM14460v1	bsb	GCA/000/144/605	Brevundimonas subvibrioides
GCA_001310255.1_ASM131025v1	GCA/001/310/255/GCA_001310255.1_ASM131025v1	brd	GCA/001/310/255	Brevundimonas sp. DS20
GCA_000635915.2_ASM63591v2	GCA/000/635/915/GCA_000635915.2_ASM63591v2	bne	GCA/000/635/915	Brevundimonas naejangsanensis
GCA_001636925.1_ASM163692v1	GCA/001/636/925/GCA_001636925.1_ASM163692v1	brg	GCA/001/636/925	Brevundimonas sp. GW460-12-10-14-LB2
GCA_002002865.1_ASM200286v1	GCA/002/002/865/GCA_002002865.1_ASM200286v1	brl	GCA/002/002/865	Brevundimonas sp. LM2
GCA_002208825.2_ASM220882v2	GCA/002/208/825/GCA_002208825.2_ASM220882v2	bvc	GCA/002/208/825	Brevundimonas vesicularis
GCA_000175215.2_ASM17521v2	GCA/000/175/215/GCA_000175215.2_ASM17521v2	aex	GCA/000/175/215	Asticcacaulis excentricus
GCA_001679665.1_ASM167966v1	GCA/001/679/665/GCA_001679665.1_ASM167966v1	cbot	GCA/001/679/665	Caulobacteraceae bacterium OTSz_A_272
GCA_000011965.2_ASM1196v2	GCA/000/011/965/GCA_000011965.2_ASM1196v2	sil	GCA/000/011/965	Ruegeria pomeroyi
GCA_000014065.1_ASM1406v1	GCA/000/014/065/GCA_000014065.1_ASM1406v1	sit	GCA/000/014/065	Ruegeria sp. TM1040
GCA_003336365.1_ASM333636v1	GCA/003/336/365/GCA_003336365.1_ASM333636v1	rue	GCA/003/336/365	Ruegeria sp. NKC1-1
GCA_003443535.1_ASM344353v1	GCA/003/443/535/GCA_003443535.1_ASM344353v1	rua	GCA/003/443/535	Ruegeria sp. AD91A
GCA_000376545.2_ASM37654v2	GCA/000/376/545/GCA_000376545.2_ASM37654v2	rmb	GCA/000/376/545	Epibacterium mobile
GCF_000012905.2_ASM1290v2	GCF/000/012/905/GCF_000012905.2_ASM1290v2	rsp	GCF/000/012/905	Rhodobacter sphaeroides 2.4.1
GCA_000015985.1_ASM1598v1	GCA/000/015/985/GCA_000015985.1_ASM1598v1	rsh	GCA/000/015/985	Rhodobacter sphaeroides ATCC 17029
GCA_000016405.1_ASM1640v1	GCA/000/016/405/GCA_000016405.1_ASM1640v1	rsq	GCA/000/016/405	Rhodobacter sphaeroides ATCC 17025
GCA_000021005.1_ASM2100v1	GCA/000/021/005/GCA_000021005.1_ASM2100v1	rsk	GCA/000/021/005	Rhodobacter sphaeroides KD131
GCA_000021865.1_ASM2186v1	GCA/000/021/865/GCA_000021865.1_ASM2186v1	rcp	GCA/000/021/865	Rhodobacter capsulatus
GCA_001856665.1_ASM185666v1	GCA/001/856/665/GCA_001856665.1_ASM185666v1	rhp	GCA/001/856/665	Rhodobacter sp. LPB0142
GCA_003071405.1_ASM307140v1	GCA/003/071/405/GCA_003071405.1_ASM307140v1	rbl	GCA/003/071/405	Rhodobacter blasticus
GCA_000013565.1_ASM1356v1	GCA/000/013/565/GCA_000013565.1_ASM1356v1	jan	GCA/000/013/565	Jannaschia sp. CCS1
GCA_000014045.1_ASM1404v1	GCA/000/014/045/GCA_000014045.1_ASM1404v1	rde	GCA/000/014/045	Roseobacter denitrificans
GCA_000154785.2_ASM15478v2	GCA/000/154/785/GCA_000154785.2_ASM15478v2	rli	GCA/000/154/785	Roseobacter litoralis
GCA_000203895.1_ASM20389v1	GCA/000/203/895/GCA_000203895.1_ASM20389v1	pde	GCA/000/203/895	Paracoccus denitrificans
GCA_000444995.1_ASM44499v1	GCA/000/444/995/GCA_000444995.1_ASM44499v1	pami	GCA/000/444/995	Paracoccus aminophilus
GCA_002073635.2_ASM207363v2	GCA/002/073/635/GCA_002073635.2_ASM207363v2	pye	GCA/002/073/635	Paracoccus yeei
GCA_002105555.1_ASM210555v1	GCA/002/105/555/GCA_002105555.1_ASM210555v1	pcon	GCA/002/105/555	Paracoccus contaminans
GCA_002847445.1_ASM284744v1	GCA/002/847/445/GCA_002847445.1_ASM284744v1	pzh	GCA/002/847/445	Paracoccus zhejiangensis
GCA_002847305.1_ASM284730v1	GCA/002/847/305/GCA_002847305.1_ASM284730v1	paro	GCA/002/847/305	Paracoccus sp. BM15
GCA_002865605.1_ASM286560v1	GCA/002/865/605/GCA_002865605.1_ASM286560v1	paru	GCA/002/865/605	Paracoccus sp. CBA4604
GCA_900005615.1_JCM7685	GCA/900/005/615/GCA_900005615.1_JCM7685	pamn	GCA/900/005/615	Paracoccus aminovorans
GCA_003285265.1_ASM328526v1	GCA/003/285/265/GCA_003285265.1_ASM328526v1	pmut	GCA/003/285/265	Paracoccus mutanolyticus
GCA_000018145.1_ASM1814v1	GCA/000/018/145/GCA_000018145.1_ASM1814v1	dsh	GCA/000/018/145	Dinoroseobacter shibae
GCA_000164885.1_ASM16488v1	GCA/000/164/885/GCA_000164885.1_ASM16488v1	kvu	GCA/000/164/885	Ketogulonicigenium vulgare Y25
GCF_000223375.1_ASM22337v1	GCF/000/223/375/GCF_000223375.1_ASM22337v1	kvl	GCF/000/223/375	Ketogulonicigenium vulgare WSH-001
GCA_002117445.1_ASM211744v1	GCA/002/117/445/GCA_002117445.1_ASM211744v1	kro	GCA/002/117/445	Ketogulonicigenium robustum
GCA_000236645.1_ASM23664v1	GCA/000/236/645/GCA_000236645.1_ASM23664v1	psf	GCA/000/236/645	Pseudovibrio sp. FO-BEG1
GCA_000154765.2_ASM15476v2	GCA/000/154/765/GCA_000154765.2_ASM15476v2	pga	GCA/000/154/765	Phaeobacter inhibens DSM 17395
GCA_000154745.2_ASM15474v2	GCA/000/154/745/GCA_000154745.2_ASM15474v2	pgl	GCA/000/154/745	Phaeobacter inhibens 2.10
GCA_000511385.1_ASM51138v1	GCA/000/511/385/GCA_000511385.1_ASM51138v1	pgd	GCA/000/511/385	Phaeobacter gallaeciensis DSM 26640
GCA_001888185.1_ASM188818v1	GCA/001/888/185/GCA_001888185.1_ASM188818v1	php	GCA/001/888/185	Phaeobacter porticola
GCA_002407245.1_ASM240724v1	GCA/002/407/245/GCA_002407245.1_ASM240724v1	ppic	GCA/002/407/245	Phaeobacter piscinae
GCA_003443595.1_ASM344359v1	GCA/003/443/595/GCA_003443595.1_ASM344359v1	phq	GCA/003/443/595	Phaeobacter sp. LSS9
GCA_000155675.2_ASM15567v2	GCA/000/155/675/GCA_000155675.2_ASM15567v2	oat	GCA/000/155/675	Octadecabacter antarcticus
GCA_000155735.2_ASM15573v2	GCA/000/155/735/GCA_000155735.2_ASM15573v2	oar	GCA/000/155/735	Octadecabacter arcticus
GCA_001187845.1_ASM118784v1	GCA/001/187/845/GCA_001187845.1_ASM118784v1	otm	GCA/001/187/845	Octadecabacter temperatus
GCA_000511355.1_ASM51135v1	GCA/000/511/355/GCA_000511355.1_ASM51135v1	lmd	GCA/000/511/355	Leisingera methylohalidivorans
GCA_000590925.1_ASM59092v1	GCA/000/590/925/GCA_000590925.1_ASM59092v1	red	GCA/000/590/925	Roseibacterium elongatum
GCA_000738435.1_ASM73843v1	GCA/000/738/435/GCA_000738435.1_ASM73843v1	ptp	GCA/000/738/435	Planktomarina temperata
GCA_000819565.1_ASM81956v1	GCA/000/819/565/GCA_000819565.1_ASM81956v1	cid	GCA/000/819/565	Celeribacter indicus
GCA_001308265.1_ASM130826v1	GCA/001/308/265/GCA_001308265.1_ASM130826v1	cmar	GCA/001/308/265	Celeribacter marinus
GCA_002407265.1_ASM240726v1	GCA/002/407/265/GCA_002407265.1_ASM240726v1	ceh	GCA/002/407/265	Celeribacter ethanolicus
GCA_002504165.1_ASM250416v1	GCA/002/504/165/GCA_002504165.1_ASM250416v1	cmag	GCA/002/504/165	Celeribacter manganoxidans
GCA_001046955.1_ASM104695v1	GCA/001/046/955/GCA_001046955.1_ASM104695v1	malg	GCA/001/046/955	Marinovum algicola
GCA_001305615.1_ASM130561v1	GCA/001/305/615/GCA_001305615.1_ASM130561v1	con	GCA/001/305/615	Confluentimicrobium sp. EMB200-NS6
GCA_001548075.1_ASM154807v1	GCA/001/548/075/GCA_001548075.1_ASM154807v1	rsu	GCA/001/548/075	Rhodovulum sulfidophilum
GCA_002073975.1_ASM207397v1	GCA/002/073/975/GCA_002073975.1_ASM207397v1	rhm	GCA/002/073/975	Rhodovulum sp. MB263
GCA_002079305.1_ASM207930v1	GCA/002/079/305/GCA_002079305.1_ASM207930v1	rhc	GCA/002/079/305	Rhodovulum sp. P5
GCA_001484065.1_ASM148406v1	GCA/001/484/065/GCA_001484065.1_ASM148406v1	pphr	GCA/001/484/065	Pannonibacter phragmitetus
GCA_000812665.2_ASM81266v2	GCA/000/812/665/GCA_000812665.2_ASM81266v2	hat	GCA/000/812/665	Halocynthiibacter arcticus
GCA_001579905.1_ASM157990v1	GCA/001/579/905/GCA_001579905.1_ASM157990v1	lap	GCA/001/579/905	Labrenzia sp. CP4
GCA_001999245.1_ASM199924v1	GCA/001/999/245/GCA_001999245.1_ASM199924v1	lagg	GCA/001/999/245	Labrenzia aggregata
GCA_002237595.1_ASM223759v1	GCA/002/237/595/GCA_002237595.1_ASM223759v1	labr	GCA/002/237/595	Labrenzia sp. VG12
GCA_001620265.1_ASM162026v1	GCA/001/620/265/GCA_001620265.1_ASM162026v1	daa	GCA/001/620/265	Defluviimonas alba
GCA_001687105.1_ASM168710v1	GCA/001/687/105/GCA_001687105.1_ASM168710v1	yan	GCA/001/687/105	Yangia sp. CCB-MM3
GCA_003111685.1_ASM311168v1	GCA/003/111/685/GCA_003111685.1_ASM311168v1	ypac	GCA/003/111/685	Yangia pacifica
GCA_001886735.1_ASM188673v1	GCA/001/886/735/GCA_001886735.1_ASM188673v1	suam	GCA/001/886/735	Sulfitobacter sp. AM1-D1
GCA_002222635.1_ASM222263v1	GCA/002/222/635/GCA_002222635.1_ASM222263v1	spse	GCA/002/222/635	Sulfitobacter pseudonitzschiae
GCA_003352085.1_ASM335208v1	GCA/003/352/085/GCA_003352085.1_ASM335208v1	sulz	GCA/003/352/085	Sulfitobacter sp. SK012
GCA_003352045.1_ASM335204v1	GCA/003/352/045/GCA_003352045.1_ASM335204v1	suli	GCA/003/352/045	Sulfitobacter sp. JL08
GCA_001908835.1_ASM190883v1	GCA/001/908/835/GCA_001908835.1_ASM190883v1	don	GCA/001/908/835	Donghicola sp. JLT3646
GCA_001969385.1_ASM196938v1	GCA/001/969/385/GCA_001969385.1_ASM196938v1	tpro	GCA/001/969/385	Salipiger profundus
GCA_001969365.1_ASM196936v1	GCA/001/969/365/GCA_001969365.1_ASM196936v1	tom	GCA/001/969/365	Tateyamaria omphalii
GCA_001975705.1_ASM197570v1	GCA/001/975/705/GCA_001975705.1_ASM197570v1	paby	GCA/001/975/705	Pelagibaca abyssi
GCA_001940525.2_ASM194052v2	GCA/001/940/525/GCA_001940525.2_ASM194052v2	thw	GCA/001/940/525	Thioclava nitratireducens
GCA_002080415.1_ASM208041v1	GCA/002/080/415/GCA_002080415.1_ASM208041v1	rmm	GCA/002/080/415	Roseovarius mucosus
GCA_003288315.1_ASM328831v1	GCA/003/288/315/GCA_003288315.1_ASM328831v1	rok	GCA/003/288/315	Roseovarius sp. AK1035
GCA_002158905.1_ASM215890v1	GCA/002/158/905/GCA_002158905.1_ASM215890v1	lvs	GCA/002/158/905	Yoonia vestfoldensis
GCA_002237555.1_ASM223755v1	GCA/002/237/555/GCA_002237555.1_ASM223755v1	aht	GCA/002/237/555	Antarctobacter heliothermus
GCA_001870665.2_ASM187066v2	GCA/001/870/665/GCA_001870665.2_ASM187066v2	rbg	GCA/001/870/665	Rhodobaca barguzinensis
GCA_002814095.1_ASM281409v1	GCA/002/814/095/GCA_002814095.1_ASM281409v1	sagu	GCA/002/814/095	Sagittula sp. P11
GCA_003008555.1_ASM300855v1	GCA/003/008/555/GCA_003008555.1_ASM300855v1	thas	GCA/003/008/555	Thalassococcus sp. SH-1
GCA_003060865.1_ASM306086v1	GCA/003/060/865/GCA_003060865.1_ASM306086v1	geh	GCA/003/060/865	Gemmobacter sp. HYN0069
GCA_002850435.1_ASM285043v1	GCA/002/850/435/GCA_002850435.1_ASM285043v1	rbz	GCA/002/850/435	Rhodobacteraceae bacterium G7
GCA_000014745.1_ASM1474v1	GCA/000/014/745/GCA_000014745.1_ASM1474v1	mmr	GCA/000/014/745	Maricaulis maris
GCA_000013025.1_ASM1302v1	GCA/000/013/025/GCA_000013025.1_ASM1302v1	hne	GCA/000/013/025	Hyphomonas neptunium
GCA_000023785.1_ASM2378v1	GCA/000/023/785/GCA_000023785.1_ASM2378v1	hba	GCA/000/023/785	Hirschia baltica
GCA_001602435.1_ASM160243v1	GCA/001/602/435/GCA_001602435.1_ASM160243v1	hbc	GCA/001/602/435	Hyphomonadaceae bacterium UKL13-1
GCA_000007105.1_ASM710v1	GCA/000/007/105/GCA_000007105.1_ASM710v1	zmo	GCA/000/007/105	Zymomonas mobilis subsp. mobilis ZM4
GCA_000024245.1_ASM2424v1	GCA/000/024/245/GCA_000024245.1_ASM2424v1	zmn	GCA/000/024/245	Zymomonas mobilis subsp. mobilis NCIMB 11163
GCA_000175255.2_ASM17525v2	GCA/000/175/255/GCA_000175255.2_ASM17525v2	zmm	GCA/000/175/255	Zymomonas mobilis subsp. mobilis ATCC 10988
GCA_000277755.1_ASM27775v1	GCA/000/277/755/GCA_000277755.1_ASM27775v1	zmb	GCA/000/277/755	Zymomonas mobilis subsp. mobilis ATCC 29191
GCA_000498655.1_ASM49865v1	GCA/000/498/655/GCA_000498655.1_ASM49865v1	zmi	GCA/000/498/655	Zymomonas mobilis subsp. mobilis CP4 = NRRL B-14023
GCA_000576165.1_ASM57616v1	GCA/000/576/165/GCA_000576165.1_ASM57616v1	zmc	GCA/000/576/165	Zymomonas mobilis subsp. mobilis CP4 = NRRL B-14023
GCA_000576125.1_ASM57612v1	GCA/000/576/125/GCA_000576125.1_ASM57612v1	zmr	GCA/000/576/125	Zymomonas mobilis subsp. mobilis NRRL B-12526
GCA_000218875.1_ASM21887v1	GCA/000/218/875/GCA_000218875.1_ASM21887v1	zmp	GCA/000/218/875	Zymomonas mobilis subsp. pomaceae ATCC 29192
GCA_000013325.1_ASM1332v1	GCA/000/013/325/GCA_000013325.1_ASM1332v1	nar	GCA/000/013/325	Novosphingobium aromaticivorans
GCA_000253255.1_ASM25325v1	GCA/000/253/255/GCA_000253255.1_ASM25325v1	npp	GCA/000/253/255	Novosphingobium sp. PP1Y
GCA_000767465.1_ASM76746v1	GCA/000/767/465/GCA_000767465.1_ASM76746v1	npn	GCA/000/767/465	Novosphingobium pentaromativorans
GCA_001742225.1_ASM174222v1	GCA/001/742/225/GCA_001742225.1_ASM174222v1	nre	GCA/001/742/225	Novosphingobium resinovorum
GCA_000876675.2_ASM87667v2	GCA/000/876/675/GCA_000876675.2_ASM87667v2	nov	GCA/000/876/675	Novosphingobium sp. P6W
GCA_003454795.1_ASM345479v1	GCA/003/454/795/GCA_003454795.1_ASM345479v1	not	GCA/003/454/795	Novosphingobium sp. THN1
GCA_000013985.1_ASM1398v1	GCA/000/013/985/GCA_000013985.1_ASM1398v1	sal	GCA/000/013/985	Sphingopyxis alaskensis
GCA_000803645.1_ASM80364v1	GCA/000/803/645/GCA_000803645.1_ASM80364v1	sphk	GCA/000/803/645	Sphingopyxis fribergensis
GCA_001278035.1_ASM127803v1	GCA/001/278/035/GCA_001278035.1_ASM127803v1	sphp	GCA/001/278/035	Sphingopyxis sp. 113P3
GCA_001307295.1_ASM130729v1	GCA/001/307/295/GCA_001307295.1_ASM130729v1	smag	GCA/001/307/295	Sphingopyxis macrogoltabida EY-1
GCA_001314325.1_ASM131432v1	GCA/001/314/325/GCA_001314325.1_ASM131432v1	smaz	GCA/001/314/325	Sphingopyxis macrogoltabida 203
GCA_001610975.1_ASM161097v1	GCA/001/610/975/GCA_001610975.1_ASM161097v1	ster	GCA/001/610/975	Sphingopyxis terrae
GCA_001559015.1_ASM155901v1	GCA/001/559/015/GCA_001559015.1_ASM155901v1	sgi	GCA/001/559/015	Sphingopyxis granuli
GCA_001889025.1_ASM188902v1	GCA/001/889/025/GCA_001889025.1_ASM188902v1	sphl	GCA/001/889/025	Sphingopyxis sp. LPB0140
GCA_001984035.1_ASM198403v1	GCA/001/984/035/GCA_001984035.1_ASM198403v1	sphq	GCA/001/984/035	Sphingopyxis sp. QXT-31
GCA_002953155.1_ASM295315v1	GCA/002/953/155/GCA_002953155.1_ASM295315v1	spho	GCA/002/953/155	Sphingopyxis sp. MG
GCA_900078365.1_SPPYR_PRJEB13037v1	GCA/900/078/365/GCA_900078365.1_SPPYR_PRJEB13037v1	sphu	GCA/900/078/365	Uncultured Sphingopyxis sp. UC10
GCA_000016765.1_ASM1676v1	GCA/000/016/765/GCA_000016765.1_ASM1676v1	swi	GCA/000/016/765	Sphingomonas wittichii
GCA_000715175.2_ASM71517v2	GCA/000/715/175/GCA_000715175.2_ASM71517v2	sphd	GCA/000/715/175	Sphingomonas wittichii DC-6
GCA_000347675.2_ASM34767v2	GCA/000/347/675/GCA_000347675.2_ASM34767v2	sphm	GCA/000/347/675	Sphingomonas sp. MM-1
GCA_000764535.1_ASM76453v1	GCA/000/764/535/GCA_000764535.1_ASM76453v1	stax	GCA/000/764/535	Sphingomonas taxi
GCA_000935025.1_ASM93502v1	GCA/000/935/025/GCA_000935025.1_ASM93502v1	sphi	GCA/000/935/025	Sphingomonas sp. WHSC-8
GCA_000512205.2_ASM51220v2	GCA/000/512/205/GCA_000512205.2_ASM51220v2	ssan	GCA/000/512/205	Sphingomonas sanxanigenens
GCA_001638925.1_ASM163892v1	GCA/001/638/925/GCA_001638925.1_ASM163892v1	snj	GCA/001/638/925	Sphingomonas sp. NIC1
GCA_001761345.1_ASM176134v1	GCA/001/761/345/GCA_001761345.1_ASM176134v1	smy	GCA/001/761/345	Sphingomonas melonis
GCA_001717955.1_ASM171795v1	GCA/001/717/955/GCA_001717955.1_ASM171795v1	span	GCA/001/717/955	Sphingomonas panacis
GCA_001922385.1_ASM192238v1	GCA/001/922/385/GCA_001922385.1_ASM192238v1	skr	GCA/001/922/385	Sphingomonas koreensis
GCA_002002925.1_ASM200292v1	GCA/002/002/925/GCA_002002925.1_ASM200292v1	splm	GCA/002/002/925	Sphingomonas sp. LM7
GCA_001971605.1_ASM197160v1	GCA/001/971/605/GCA_001971605.1_ASM197160v1	splk	GCA/001/971/605	Sphingomonas sp. LK11
GCA_001890385.1_ASM189038v1	GCA/001/890/385/GCA_001890385.1_ASM189038v1	sphj	GCA/001/890/385	Sphingomonas sp. JJ-A5
GCA_002151445.1_ASM215144v1	GCA/002/151/445/GCA_002151445.1_ASM215144v1	spkc	GCA/002/151/445	Sphingomonas sp. KC8
GCA_002796605.1_ASM279660v1	GCA/002/796/605/GCA_002796605.1_ASM279660v1	sphc	GCA/002/796/605	Sphingomonas sp. Cra20
GCA_003355005.1_ASM335500v1	GCA/003/355/005/GCA_003355005.1_ASM335500v1	sphf	GCA/003/355/005	Sphingomonas sp. FARSPH
GCA_000091125.1_ASM9112v1	GCA/000/091/125/GCA_000091125.1_ASM9112v1	sjp	GCA/000/091/125	Sphingobium japonicum
GCA_000147835.3_ASM14783v3	GCA/000/147/835/GCA_000147835.3_ASM14783v3	sch	GCA/000/147/835	Sphingobium chlorophenolicum
GCA_000283515.1_ASM28351v1	GCA/000/283/515/GCA_000283515.1_ASM28351v1	ssy	GCA/000/283/515	Sphingobium sp. SYK-6
GCA_000943805.1_ASM94380v1	GCA/000/943/805/GCA_000943805.1_ASM94380v1	syb	GCA/000/943/805	Sphingobium sp. YBL2
GCA_001456115.1_ASM145611v1	GCA/001/456/115/GCA_001456115.1_ASM145611v1	sbd	GCA/001/456/115	Sphingobium baderi
GCA_001563285.1_ASM156328v1	GCA/001/563/285/GCA_001563285.1_ASM156328v1	spmi	GCA/001/563/285	Sphingobium sp. MI1205
GCA_001658005.1_ASM165800v1	GCA/001/658/005/GCA_001658005.1_ASM165800v1	sphb	GCA/001/658/005	Sphingobium sp. EP60837
GCA_001713415.1_ASM171341v1	GCA/001/713/415/GCA_001713415.1_ASM171341v1	sphr	GCA/001/713/415	Sphingobium sp. RAC03
GCA_000264945.2_ASM26494v2	GCA/000/264/945/GCA_000264945.2_ASM26494v2	sinb	GCA/000/264/945	Sphingobium indicum
GCA_001563265.1_ASM156326v1	GCA/001/563/265/GCA_001563265.1_ASM156326v1	spht	GCA/001/563/265	Sphingobium sp. TKS
GCA_002288285.1_ASM228828v1	GCA/002/288/285/GCA_002288285.1_ASM228828v1	shyd	GCA/002/288/285	Sphingobium hydrophobicum
GCA_002504085.1_ASM250408v1	GCA/002/504/085/GCA_002504085.1_ASM250408v1	sya	GCA/002/504/085	Sphingobium yanoikuyae
GCA_002355855.1_ASM235585v1	GCA/002/355/855/GCA_002355855.1_ASM235585v1	sclo	GCA/002/355/855	Sphingobium cloacae
GCA_001304795.1_ASM130479v1	GCA/001/304/795/GCA_001304795.1_ASM130479v1	cij	GCA/001/304/795	Citromicrobium sp. JL477
GCA_001586275.1_ASM158627v1	GCA/001/586/275/GCA_001586275.1_ASM158627v1	sphg	GCA/001/586/275	Sphingorhabdus sp. M41
GCA_002218195.1_ASM221819v1	GCA/002/218/195/GCA_002218195.1_ASM221819v1	sfla	GCA/002/218/195	Sphingorhabdus flavimaris
GCA_002776575.1_ASM277657v1	GCA/002/776/575/GCA_002776575.1_ASM277657v1	sphy	GCA/002/776/575	Sphingorhabdus sp. YGSMI21
